date,open,high,low,close,volume,outstanding_share,turnover
2010-01-04,3289.75,3295.28,3243.32,3243.76,10944792800.0,2924114263.0,3.7429429275349766
2010-01-05,3254.47,3290.51,3221.46,3282.18,12611506400.0,2924114263.0,4.312932144813384
2010-01-06,3277.52,3295.87,3253.04,3254.22,12365138400.0,2924114263.0,4.2286782553134445
2010-01-07,3253.99,3268.82,3176.71,3192.78,12865282400.0,2924114263.0,4.399719451045269
2010-01-08,3177.26,3198.92,3149.02,3196.0,9837714400.0,2924114263.0,3.3643399385860455
2010-01-11,3301.61,3306.75,3197.33,3212.75,13632721600.0,2924114263.0,4.662171301751213
2010-01-12,3205.7,3275.2,3180.08,3273.97,14065524100.0,2924114263.0,4.810182788674425
2010-01-13,3204.98,3232.82,3165.48,3172.66,15834427200.0,2924114263.0,5.415119169712145
2010-01-14,3183.38,3219.02,3165.6,3215.55,13595449600.0,2924114263.0,4.649424877826671
2010-01-15,3217.19,3241.82,3197.22,3224.15,12054113600.0,2924114263.0,4.122312781181493
2010-01-18,3213.64,3238.24,3202.21,3237.1,13506723200.0,2924114263.0,4.619081877512801
2010-01-19,3242.22,3268.81,3236.84,3246.87,12994353600.0,2924114263.0,4.44385972341191
2010-01-20,3252.04,3255.13,3148.33,3151.85,15824310400.0,2924114263.0,5.411659386991609
2010-01-21,3154.19,3176.15,3126.9,3158.86,11433708000.0,2924114263.0,3.9101440544493524
2010-01-22,3118.72,3147.83,3062.63,3128.59,13775854400.0,2924114263.0,4.711120414927507
2010-01-25,3103.32,3137.0,3092.93,3094.41,7836186400.0,2924114263.0,2.679849586985856
2010-01-26,3094.85,3107.2,3001.96,3019.39,9350708800.0,2924114263.0,3.1977918641273013
2010-01-27,3020.54,3028.65,2972.63,2986.61,7655221600.0,2924114263.0,2.6179625389009638
2010-01-28,2985.21,3006.04,2963.89,2994.14,7336576800.0,2924114263.0,2.5089911474502458
2010-01-29,2979.74,3024.85,2968.45,2989.29,8047587200.0,2924114263.0,2.752145257054204
